Tweet Datetime,Tweet Id,Twitter Name,Twitter @ Name,Twitter User Bio,Twitter User Followers,Twitter User Total Tweets,Tweet Text,Location,Retweets,Favorites,Language,Source
10/11/2021 17:45,1.44762E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,Did you know that on average three out of four farmers who sell at farmers markets use practices that meet or exceed organic standards? Buy directly from the source at East Liberty Farmer's Market today in the @CitiParks Garland Parklet from 3 - 7 pm! https://t.co/ytIyA6Gw5X,,2,15,en,Twitter Web App
10/11/2021 15:39,1.44759E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,"RT @CitiParks: It’s a beautiful autumn day! Explore our parks like never before.

We’ve launched our first official comprehensive &amp; interac…",,6,0,en,Twitter Web App
10/8/2021 20:47,1.44658E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,Northside Farmer's Market is open until 7 pm tonight! https://t.co/cbUp3LHTEc,,0,0,en,Twitter Web App
10/8/2021 15:27,1.4465E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,RT @GreatRacePGH: One Great Weekend’s return to a live start line would not have been possible without our GREAT partners! ?? THANK YOU to a…,,1,0,en,Twitter Web App
10/6/2021 13:56,1.44575E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,"RT @CitiParks: An absolutely beautiful evening in #Pittsburgh!

Take advantage of these days. Before you know it, @PGHDPW's plows will be o…",,9,0,en,Twitter Web App
10/4/2021 22:00,1.44515E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,"The sun shines on East Liberty Farmer's Market! Did you know that our markets are rain or shine? That means we'll still be here until 7 pm tonight so stop by for some fresh produce, fruits, baked goods and more!

More info:
https://t.co/SQ7KVZOwrH https://t.co/SWJ6NqatQU",,0,2,en,Twitter Web App
9/29/2021 16:48,1.44326E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,"Some more shots from last weekend's @GreatRacePGH! Thanks to all our sponsors @Highmark , @AHNtoday, @Dollar_Bank, our volunteers and last but not least, our runners! We couldn't do it without you! https://t.co/UtPMMN5G8z",,3,11,en,Twitter Web App
9/28/2021 13:36,1.44285E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,@PghArchives @GreatRacePGH @Pittsburgh @CitiParks Fantastic!,,0,1,en,Twitter Web App
9/28/2021 13:35,1.44285E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,Congratulations to Nick who not only finished first in the 5 and 10k but also set a new course record in the former! https://t.co/011SGrN6E4,,0,9,en,Twitter Web App
9/28/2021 13:20,1.44284E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,"If you MISSED taking a picture at Point State Park at Saturday’s Junior Great Race, there’s still time through Thursday (Sept. 30) to create a 2021 Great Race keepsake! You can scan this QR code in the photo or find the direct link below!

Photo booth:
https://t.co/G2XUO5BZT2 https://t.co/y8LCWTfcba",,0,0,en,Hootsuite Inc.
9/26/2021 14:50,1.44214E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,Another  Richard S. Caliguiri City of Pittsburgh @GreatRacePGH in the books. Congratulations to all our runners! See you all next year! https://t.co/V3BtnfvMJK,,1,6,en,Hootsuite Inc.
9/26/2021 14:11,1.44213E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,A great morning for another @GreatRacePGH! Congratulations to our  Richard S. Caliguiri City of Pittsburgh Great Race  10k finishers! https://t.co/4zh6kHp2NG,,0,3,en,Hootsuite Inc.
9/26/2021 12:33,1.44211E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,Richard S. Caliguiri City of Pittsburgh @GreatRacePGH 5k is on! Congratulations to all our runners this morning! https://t.co/A7uVU4p5Ir,,0,13,en,Hootsuite Inc.
9/25/2021 16:25,1.4418E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,Another fun filled Junior Great Race! The  Richard S. Caliguiri City of Pittsburgh @GreatRacePGH 10k and 5k  kick off tomorrow. See you there! https://t.co/AdU4p9KWp9,,1,7,en,Hootsuite Inc.
9/25/2021 13:20,1.44175E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,@GreatRacePGH Weekend starts today! The Junior Great Race opens in about 15 mins and participants are free to come down and run the course anytime from 9:30 to 12! https://t.co/LUfddQwanE,,0,1,en,Hootsuite Inc.
9/24/2021 16:16,1.44144E+18,Pittsburgh Special Events,PghEventsOffice,Official account of the City of @Pittsburgh's Office of Special Events. Follow for updates on summer events and concerts! Not monitored 24/7.,3445,1808,"RT @Pittsburgh: We have a great weekend coming up, #Pittsburgh!

Our Richard S. Caliguiri @GreatRacePGH is back! Learn more about our fall…",,7,0,en,Twitter Web App
